name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_network,nb_hits_with_time_network,min_time_network,max_time_network,sum_time_server,nb_hits_with_time_server,min_time_server,max_time_server,sum_time_transfer,nb_hits_with_time_transfer,min_time_transfer,max_time_transfer,sum_time_dom_processing,nb_hits_with_time_dom_processing,min_time_dom_processing,max_time_dom_processing,sum_time_dom_completion,nb_hits_with_time_dom_completion,min_time_dom_completion,max_time_dom_completion,sum_time_on_load,nb_hits_with_time_on_load,min_time_on_load,max_time_on_load,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
ehedaten-kanton-zurich-16-bis-18-jahrhundert,09.06.2017,staatsarchiv-kanton-zuerich,https://opendata.swiss/organization/staatsarchiv-kanton-zuerich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,17,9,3.599,4.137,0,1,0,0,0.422,1,0.422,0.422,0,1,0,0,0.072,1,0.072,0.072,0.033,1,0.033,0.033,0.001,1,0.001,0.001,498,1,3,13,29,7%,21%,0.721,dimension2==ehedaten-kanton-zurich-16-bis-18-jahrhundert,2021-02-28
lernende-der-offentlichen-volksschule-nach-schulgemeinden-im-kanton-zurich,02.12.2019,bildungsstatistik-kanton-zuerich,https://opendata.swiss/organization/bildungsstatistik-kanton-zuerich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,5,2.564,3.027,0,1,0,0,0.148,1,0.148,0.148,0.006,1,0.006,0.006,0.061,1,0.061,0.061,0.043,1,0.043,0.043,0,1,0,0,401,0,3,11,27,0%,25%,0.734,dimension2==lernende-der-offentlichen-volksschule-nach-schulgemeinden-im-kanton-zurich,2021-02-28
sterbefalle-pers,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,16,6,1.255,2.373,0,3,0,0,1.306,3,1.306,1.306,0.026,3,0.026,0.026,0.358,3,0.358,0.358,0.324,3,0.324,0.324,0.005,3,0.005,0.005,282,0,1,12,18,0%,8%,0.505,dimension2==sterbefalle-pers,2021-02-28
personenwagen-pro-1000-einwohner-anz,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,27,14,8.787,10.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,2,11,13,0%,18%,1.119,dimension2==personenwagen-pro-1000-einwohner-anz,2021-02-28
verzeichnis-der-personenstammdaten-der-zentralen-verwaltung-des-kantons-zurich,29.09.2020,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,18,5.411,7.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,1,10,65,0%,10%,0.778,dimension2==verzeichnis-der-personenstammdaten-der-zentralen-verwaltung-des-kantons-zurich,2021-02-28
covid_19-belegung-intensivpflege-kanton-zurich,06.11.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,4,4.901,4.901,0.035,2,0.035,0.035,0.572,2,0.572,0.572,0.022,2,0.022,0.022,2.141,2,2.141,2.141,1.301,2,1.301,1.301,0.003,2,0.003,0.003,178,1,4,10,15,10%,40%,1.225,dimension2==covid_19-belegung-intensivpflege-kanton-zurich,2021-02-28
verzeichnis-der-personenstammdaten-der-zentralen-verwaltung-des-kantons-zurich,29.09.2020,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,16,5.411,7.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,9,64,0%,0%,0.74,dimension2==verzeichnis-der-personenstammdaten-der-zentralen-verwaltung-des-kantons-zurich,2021-02-28
covid_19-sterbeorte-kanton-zurich,04.12.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,4.865,5.463,0,1,0,0,0.124,1,0.124,0.124,0.008,1,0.008,0.008,0.042,1,0.042,0.042,0,0,0,0,0,0,0,0,69,1,3,9,6,11%,33%,0.683,dimension2==covid_19-sterbeorte-kanton-zurich,2021-02-28
sterberate-pro-1000-einw,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,11,6,4.444,5.223,0,1,0,0,0.391,1,0.391,0.391,0.015,1,0.015,0.015,0.146,1,0.146,0.146,0.115,1,0.115,0.115,0.001,1,0.001,0.001,127,1,3,9,12,11%,33%,0.873,dimension2==sterberate-pro-1000-einw,2021-02-28
hohe-m-u-m,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,6.218,6.799,0,1,0,0,0.12,1,0.12,0.12,0.003,1,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,984,2,3,9,98,22%,33%,0.756,dimension2==hohe-m-u-m,2021-02-28
covid_19-open-government-data-reported-by-the-swiss-cantons-and-the-principality-of-liechtenste,16.03.2020,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,3,2.673,2.673,0,3,0,0,0.547,3,0.392,0.496,0.003,3,0.001,0.002,0.295,3,0.196,0.199,0.178,2,0.04,0.138,0.003,2,0.001,0.002,268,0,3,8,24,0%,38%,0.891,dimension2==covid_19-open-government-data-reported-by-the-swiss-cantons-and-the-principality-of-liechtenste,2021-02-28
covid_19-contact-tracing-kanton-zurich,13.08.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,5.035,5.035,0,1,0,0,0.129,1,0.129,0.129,0.001,1,0.001,0.001,1.375,1,1.375,1.375,0.039,1,0.039,0.039,0,1,0,0,119,1,2,8,15,13%,25%,0.839,dimension2==covid_19-contact-tracing-kanton-zurich,2021-02-28
erlasse-der-zurcher-gesetzessammlung-seit-1803,21.12.2020,staatsarchiv-kanton-zuerich,https://opendata.swiss/organization/staatsarchiv-kanton-zuerich,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,8,8,5,2.836,2.836,0,1,0,0,0.726,1,0.726,0.726,0,1,0,0,0.067,1,0.067,0.067,0,0,0,0,0,0,0,0,133,0,2,8,17,0%,25%,0.567,dimension2==erlasse-der-zurcher-gesetzessammlung-seit-1803,2021-02-28
steuerfuss-ohne-kirchen,01.07.2019,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,4.14,4.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,8,8,0%,0%,0.999,dimension2==steuerfuss-ohne-kirchen,2021-02-28
baulandpreis-median-fr-m2,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,11,5,5.336,5.336,0,1,0,0,0.424,1,0.424,0.424,0.01,1,0.01,0.01,0.041,1,0.041,0.041,0.009,1,0.009,0.009,0,1,0,0,69,0,3,8,6,0%,38%,1.067,dimension2==baulandpreis-median-fr-m2,2021-02-28
baulandpreis-modell-median-fr-m2,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,8,1,0.424,0.424,0,3,0,0,0.74,3,0.74,0.74,0.013,3,0.013,0.013,0.175,3,0.175,0.175,0.045,3,0.045,0.045,0,3,0,0,121,0,1,8,15,0%,13%,0.424,dimension2==baulandpreis-modell-median-fr-m2,2021-02-28
zukunftige-bevolkerung-kanton-zurich-und-regionen-nach-geschlecht-und-alter,14.10.2020,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,11,7,3.499,5.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,1,8,8,0%,13%,0.931,dimension2==zukunftige-bevolkerung-kanton-zurich-und-regionen-nach-geschlecht-und-alter,2021-02-28
statistik-der-informationszugangsgesuche-nach-idg-des-kantons-zurich,05.12.2019,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,2.605,4.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,1,7,14,0%,14%,1.049,dimension2==statistik-der-informationszugangsgesuche-nach-idg-des-kantons-zurich,2021-02-28
ehedaten-kanton-zurich-16-bis-18-jahrhundert,09.06.2017,staatsarchiv-kanton-zuerich,https://opendata.swiss/organization/staatsarchiv-kanton-zuerich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,6,1.797,2.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,7,34,0%,0%,0.781,dimension2==ehedaten-kanton-zurich-16-bis-18-jahrhundert,2021-02-28
gemeindebeitrag-an-zvv-1000-fr,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,10,6,2.981,3.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,1,7,46,0%,14%,0.858,dimension2==gemeindebeitrag-an-zvv-1000-fr,2021-02-28
lernende-der-mittelschulen-im-kanton-zurich,02.12.2019,bildungsstatistik-kanton-zuerich,https://opendata.swiss/organization/bildungsstatistik-kanton-zuerich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,4,1.492,2.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,6,3,0%,33%,0.854,dimension2==lernende-der-mittelschulen-im-kanton-zurich,2021-02-28
statistik-der-informationszugangsgesuche-nach-idg-des-kantons-zurich,05.12.2019,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,2.01,3.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,1,6,15,0%,17%,1.125,dimension2==statistik-der-informationszugangsgesuche-nach-idg-des-kantons-zurich,2021-02-28
verzeichnis-der-personenstammdaten-der-zentralen-verwaltung-des-kantons-zurich,29.09.2020,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,12,3.155,4.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,0,6,72,0%,0%,0.721,dimension2==verzeichnis-der-personenstammdaten-der-zentralen-verwaltung-des-kantons-zurich,2021-02-28
bevolkerung-anteil-80-u-m-jahrige,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,0,0,0.76,3,0.76,0.76,0.024,3,0.024,0.024,0.263,3,0.263,0.263,0.159,3,0.159,0.159,0.003,3,0.003,0.003,63,0,2,6,11,0%,33%,0,dimension2==bevolkerung-anteil-80-u-m-jahrige,2021-02-28
bevolkerung-katholisch-pers,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,12,6,2.852,3.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,2,6,33,0%,33%,0.802,dimension2==bevolkerung-katholisch-pers,2021-02-28
nettoaufwand-bildung-fr-einw,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,11,1.436,3.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,1,6,35,0%,17%,1.04,dimension2==nettoaufwand-bildung-fr-einw,2021-02-28
schul-oberstufe-anz,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,0.763,0.763,0,1,0,0,0.122,1,0.122,0.122,0.002,1,0.002,0.002,0.047,1,0.047,0.047,0.024,1,0.024,0.024,0,1,0,0,181,0,0,6,26,0%,0%,0.763,dimension2==schul-oberstufe-anz,2021-02-28
kehrichtmengen-tonnen,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,8,2,3.76,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,1,2,4,119,17%,33%,1.88,dimension2==kehrichtmengen-tonnen,2021-02-28
steuerb-einkommen-naturl-pers-durchschn-fr,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,3.159,3.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,3,0%,0%,0.794,dimension2==steuerb-einkommen-naturl-pers-durchschn-fr,2021-02-28
steuerfuss-juristische-personen,18.11.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,2.515,2.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,4,6,4,33%,67%,0.699,dimension2==steuerfuss-juristische-personen,2021-02-28
covid_19-einreisequarantane-kanton-zurich,15.09.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5.114,5.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,5,2,0%,80%,1.023,dimension2==covid_19-einreisequarantane-kanton-zurich,2021-02-28
ehedaten-kanton-zurich-16-bis-18-jahrhundert,09.06.2017,staatsarchiv-kanton-zuerich,https://opendata.swiss/organization/staatsarchiv-kanton-zuerich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,4,1.797,2.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,5,36,0%,0%,0.657,dimension2==ehedaten-kanton-zurich-16-bis-18-jahrhundert,2021-02-28
archivinformationssystem-des-staatsarchivs-des-kantons-zurich,14.11.2019,staatsarchiv-kanton-zuerich,https://opendata.swiss/organization/staatsarchiv-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,6,5,1.597,2.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,5,5,0%,0%,0.452,dimension2==archivinformationssystem-des-staatsarchivs-des-kantons-zurich,2021-02-28
steuerkraft-mio-fr,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,2.402,3.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,5,68,0%,0%,0.977,dimension2==steuerkraft-mio-fr,2021-02-28
steuerkraft-berichtigt-mio-fr,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,11,0.922,3.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,2,5,7,0%,40%,0.681,dimension2==steuerkraft-berichtigt-mio-fr,2021-02-28
sozialhilfequote,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,7,6,1.173,1.624,0,1,0,0,0.168,1,0.168,0.168,0.005,1,0.005,0.005,0.06,1,0.06,0.06,0,0,0,0,0,0,0,0,226,1,3,5,32,20%,60%,0.281,dimension2==sozialhilfequote,2021-02-28
wohnungsbestand-whg,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4.465,4.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,5,20,0%,0%,1.488,dimension2==wohnungsbestand-whg,2021-02-28
bevolkerung-anteil-65-79-jahrige,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,3,2.537,2.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,5,7,0%,20%,0.846,dimension2==bevolkerung-anteil-65-79-jahrige,2021-02-28
