label,nb_visits,growth_percent,growth_percent_numeric,grown,value_old,value_new,difference,importance,isDisappeared,isNew,isMover,isMoverAndShaker
Gemeindefusion,4,100%,100,1,0,4,4,4,0,1,0,0
gemeinden,10,100%,100,1,0,10,10,10,0,1,0,0
Gemeinden,4,100%,100,1,0,4,4,4,0,1,0,0
gemeindest,4,100%,100,1,0,4,4,4,0,1,0,0
gripen,4,100%,100,1,0,4,4,4,0,1,0,0
H,8,100%,100,1,0,8,8,8,0,1,0,0
heimat,11,100%,100,1,0,11,11,11,0,1,0,0
Horge,6,100%,100,1,0,6,6,6,0,1,0,0
Horgen hir,4,100%,100,1,0,4,4,4,0,1,0,0
Horgen hirzel,4,100%,100,1,0,4,4,4,0,1,0,0
Horgen,9,100%,100,1,0,9,9,9,0,1,0,0
HS,4,100%,100,1,0,4,4,4,0,1,0,0
HSK,6,100%,100,1,0,6,6,6,0,1,0,0
i,5,100%,100,1,0,5,5,5,0,1,0,0
immi,4,100%,100,1,0,4,4,4,0,1,0,0
immiga,4,100%,100,1,0,4,4,4,0,1,0,0
immigant,6,100%,100,1,0,6,6,6,0,1,0,0
immo,7,100%,100,1,0,7,7,7,0,1,0,0
Immob,4,100%,100,1,0,4,4,4,0,1,0,0
Immobilien,4,100%,100,1,0,4,4,4,0,1,0,0
immobilienpreise,5,100%,100,1,0,5,5,5,0,1,0,0
info,6,100%,100,1,0,6,6,6,0,1,0,0
Jahresrechnung,4,100%,100,1,0,4,4,4,0,1,0,0
kantons,7,100%,100,1,0,7,7,7,0,1,0,0
kantonsrat,5,100%,100,1,0,5,5,5,0,1,0,0
kantonsratswahlen,6,100%,100,1,0,6,6,6,0,1,0,0
kinder,5,100%,100,1,0,5,5,5,0,1,0,0
la,4,100%,100,1,0,4,4,4,0,1,0,0
land,12,100%,100,1,0,12,12,12,0,1,0,0
landpreis,11,100%,100,1,0,11,11,11,0,1,0,0
Maturität,4,100%,100,1,0,4,4,4,0,1,0,0
meilen,4,100%,100,1,0,4,4,4,0,1,0,0
Migration,5,100%,100,1,0,5,5,5,0,1,0,0
namen,4,100%,100,1,0,4,4,4,0,1,0,0
nationalität,6,100%,100,1,0,6,6,6,0,1,0,0
nationalratswahl 2019,4,100%,100,1,0,4,4,4,0,1,0,0
Neuansteckungen,5,100%,100,1,0,5,5,5,0,1,0,0
P,15,100%,100,1,0,15,15,15,0,1,0,0
Pl,10,100%,100,1,0,10,10,10,0,1,0,0
Plz,14,100%,100,1,0,14,14,14,0,1,0,0
Po,4,100%,100,1,0,4,4,4,0,1,0,0
Pos,6,100%,100,1,0,6,6,6,0,1,0,0
prognose,9,100%,100,1,0,9,9,9,0,1,0,0
quarantine,4,100%,100,1,0,4,4,4,0,1,0,0
re,4,100%,100,1,0,4,4,4,0,1,0,0
Regierungsrat,4,100%,100,1,0,4,4,4,0,1,0,0
Religion,7,100%,100,1,0,7,7,7,0,1,0,0
rep,4,100%,100,1,0,4,4,4,0,1,0,0
repro,4,100%,100,1,0,4,4,4,0,1,0,0
reprodukton,4,100%,100,1,0,4,4,4,0,1,0,0
reproduktons,4,100%,100,1,0,4,4,4,0,1,0,0
reproduktonsz,4,100%,100,1,0,4,4,4,0,1,0,0
reproduktonszahl,4,100%,100,1,0,4,4,4,0,1,0,0
S,6,100%,100,1,0,6,6,6,0,1,0,0
Schul,4,100%,100,1,0,4,4,4,0,1,0,0
Schulkonflikt,6,100%,100,1,0,6,6,6,0,1,0,0
Siedlungserneuerung,6,100%,100,1,0,6,6,6,0,1,0,0
sozialhilfe,5,100%,100,1,0,5,5,5,0,1,0,0
Sprachen,4,100%,100,1,0,4,4,4,0,1,0,0
statistik.info,8,100%,100,1,0,8,8,8,0,1,0,0
steuer,6,100%,100,1,0,6,6,6,0,1,0,0
stockwerkeigentum,5,100%,100,1,0,5,5,5,0,1,0,0
test,15,100%,100,1,0,15,15,15,0,1,0,0
Todesfälle,4,100%,100,1,0,4,4,4,0,1,0,0
Unzonung,6,100%,100,1,0,6,6,6,0,1,0,0
urdorf,4,100%,100,1,0,4,4,4,0,1,0,0
uster,6,100%,100,1,0,6,6,6,0,1,0,0
vermögen,4,100%,100,1,0,4,4,4,0,1,0,0
vovi,4,100%,100,1,0,4,4,4,0,1,0,0
W,11,100%,100,1,0,11,11,11,0,1,0,0
Wa,6,100%,100,1,0,6,6,6,0,1,0,0
Wahle,4,100%,100,1,0,4,4,4,0,1,0,0
Wahlen,4,100%,100,1,0,4,4,4,0,1,0,0
Wettswil,4,100%,100,1,0,4,4,4,0,1,0,0
wi,4,100%,100,1,0,4,4,4,0,1,0,0
win,6,100%,100,1,0,6,6,6,0,1,0,0
Wint,4,100%,100,1,0,4,4,4,0,1,0,0
Winterthur,4,100%,100,1,0,4,4,4,0,1,0,0
Winthe,6,100%,100,1,0,6,6,6,0,1,0,0
Winther,4,100%,100,1,0,4,4,4,0,1,0,0
Wohn,6,100%,100,1,0,6,6,6,0,1,0,0
Zahle,5,100%,100,1,0,5,5,5,0,1,0,0
ZL,4,100%,100,1,0,4,4,4,0,1,0,0
zusammensetzung,4,100%,100,1,0,4,4,4,0,1,0,0
